iso3_code,fao_name,sau_name
ITA,Italy,Italy
CIV,Côte d'Ivoire,Côte d'Ivoire
KAZ,Kazakhstan,NA
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JTN,Johnston Island,NA
JOR,Jordan,Jordan
KGZ,Kyrgyzstan,NA
KEN,Kenya,Kenya
KHM,Cambodia,Cambodia
PRK,Democratic People's Republic of Korea,Korea (North)
KOR,Republic of Korea,Korea (South)
KWT,Kuwait,Kuwait
LVA,Latvia,Latvia
LAO,Lao People's Democratic Republic,NA
LBN,Lebanon,NA
LSO,Lesotho,NA
LBR,Liberia,Liberia
LBY,Libya,NA
LIE,Liechtenstein,NA
LTU,Lithuania,Lithuania
MHL,Marshall Islands,Marshall Isl.
MAC,"China, Macao SAR",NA
MDG,Madagascar,Madagascar
MWI,Malawi,NA
MYS,Malaysia,Malaysia
MDV,Maldives,Maldives
MLI,Mali,NA
MLT,Malta,NA
MTQ,Martinique,Martinique (France)
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MEX,Mexico,Mexico
MID,Midway Islands,NA
MCO,Monaco,NA
MNG,Mongolia,NA
MSR,Montserrat,Montserrat (UK)
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
FSM,Micronesia (Federated States of),Micronesia
MDA,Republic of Moldova,NA
NAM,Namibia,Namibia
NRU,Nauru,Nauru
NPL,Nepal,NA
NLD,Netherlands (Kingdom of the),Netherlands
ANT,Netherlands Antilles,NA
NA,Neutral Zone,NA
NCL,New Caledonia,New Caledonia (France)
MKD,North Macedonia,NA
VUT,Vanuatu,Vanuatu
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NER,Niger,NA
NGA,Nigeria,Nigeria
NIU,Niue,Niue (New Zealand)
NFK,Norfolk Island,Norfolk Isl. (Australia)
NOR,Norway,Norway
MNP,Northern Mariana Islands,North Marianas (USA)
NA,Trust Territory of the Pacific Islands,NA
PAK,Pakistan,Pakistan
PAN,Panama,Panama
CZE,Czechia,NA
PNG,Papua New Guinea,Papua New Guinea
PRY,Paraguay,NA
PER,Peru,Peru
PHL,Philippines,Philippines
PCN,Pitcairn,Pitcairn (UK)
POL,Poland,Poland
PRT,Portugal,Portugal
PRT,Portugal,Azores Isl. (Portugal)
PRT,Portugal,Madeira Isl. (Portugal)
GNB,Guinea-Bissau,Guinea-Bissau
TLS,Timor-Leste,Timor Leste
PRI,Puerto Rico,Puerto Rico (USA)
ERI,Eritrea,Eritrea
QAT,Qatar,Qatar
PLW,Palau,Palau
ZWE,Zimbabwe,NA
REU,Réunion,Réunion (France)
ROU,Romania,NA
RWA,Rwanda,NA
RUS,Russian Federation,Russian Federation
SCG,Serbia and Montenegro,NA
SHN,"Ascension, Saint Helena and Tristan da Cunha",Saint Helena (UK)
SHN,"Ascension, Saint Helena and Tristan da Cunha",Ascension Isl. (UK)
SHN,"Ascension, Saint Helena and Tristan da Cunha",Tristan da Cunha Isl. (UK)
KNA,Saint Kitts and Nevis,Saint Kitts & Nevis
LCA,Saint Lucia,Saint Lucia
SPM,Saint Pierre and Miquelon,Saint Pierre & Miquelon (France)
VCT,Saint Vincent and the Grenadines,Saint Vincent & the Grenadines
SMR,San Marino,NA
STP,Sao Tome and Principe,Sao Tome & Principe
SAU,Saudi Arabia,Saudi Arabia
SEN,Senegal,Senegal
SYC,Seychelles,Seychelles
SLE,Sierra Leone,Sierra Leone
SVN,Slovenia,NA
SVK,Slovakia,NA
SGP,Singapore,Singapore
SOM,Somalia,Somalia
ZAF,South Africa,South Africa
ESP,Spain,Spain
ESH,Western Sahara,NA
NA,Sudan (former),NA
SUR,Suriname,Suriname
TJK,Tajikistan,NA
SWZ,Eswatini,NA
SWE,Sweden,Sweden
CHE,Switzerland,NA
SYR,Syrian Arab Republic,NA
TKM,Turkmenistan,NA
TWN,Taiwan Province of China,Taiwan
TZA,United Republic of Tanzania,Tanzania
THA,Thailand,Thailand
TGO,Togo,Togo
TKL,Tokelau,Tokelau (New Zealand)
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad & Tobago
OMN,Oman,Oman
TUN,Tunisia,NA
TUR,Türkiye,NA
TCA,Turks and Caicos Islands,Turks & Caicos Isl. (UK)
ARE,United Arab Emirates,United Arab Emirates
UGA,Uganda,NA
TUV,Tuvalu,Tuvalu
SUN,Un. Sov. Soc. Rep.,NA
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom
GBR,United Kingdom of Great Britain and Northern Ireland,Channel Isl. (UK)
UKR,Ukraine,Ukraine
USA,United States of America,USA
UMI,United States Minor Outlying Islands,NA
BFA,Burkina Faso,NA
URY,Uruguay,Uruguay
UZB,Uzbekistan,NA
VEN,Venezuela (Bolivarian Republic of),Venezuela
VNM,Viet Nam,Viet Nam
ETH,Ethiopia,NA
VGB,British Virgin Islands,British Virgin Isl. (UK)
VIR,United States Virgin Islands,US Virgin Isl.
WAK,Wake Island,NA
WLF,Wallis and Futuna Islands,Wallis & Futuna Isl. (France)
WSM,Samoa,Samoa
NA,West Bank,NA
NA,Yemen Arab Republic,NA
NA,"Yemen, Democratic",NA
YUG,Yugoslavia SFR,NA
YEM,Yemen,Yemen
COD,Democratic Republic of the Congo,Congo (ex-Zaire)
ZMB,Zambia,NA
NA,Other NEI,NA
BEL,Belgium,Belgium
LUX,Luxembourg,NA
AIA,Anguilla,Anguilla (UK)
NA,Channel Islands,NA
SJM,Svalbard and Jan Mayen Islands,NA
IMN,Isle of Man,NA
MYT,Mayotte,Mayotte (France)
SGS,South Georgia and the South Sandwich Islands,NA
SRB,Serbia,NA
MNE,Montenegro,NA
EAZ,"United Republic of Tanzania, Zanzibar",NA
ANT,Netherlands Antilles,NA
ALA,Åland Islands,NA
BES,"Bonaire, Sint Eustatius and Saba",Saba and Saint Eustaius (Netherlands)
BES,"Bonaire, Sint Eustatius and Saba",Bonaire (Netherlands)
GGY,Guernsey,NA
JEY,Jersey,NA
CUW,Curaçao,Curacao
BLM,Saint Barthélemy,St Barthelemy (France)
MAF,Saint Martin (French part),St Martin
SXM,Sint Maarten (Dutch part),Sint Maarten
SSD,South Sudan,NA
NA,Sark,NA
SDN,Sudan,Sudan
PSE,Palestine,NA
EUR,European Union,NA
UNK,NA,Unknown Fishing Country
